,Document_No,Dominant_Topic,Topic_Perc_Contrib,Topic_Keywords,review_id,appid
121,121,7.0,0.4090999960899353,"booster, game, life, get, move, level, without, exit, year, done",5247233247,com.midasplayer.apps.candycrushsaga
122,122,1.0,0.6420999765396118,"game, add, , many, level, really, ever, way, time, much",5247229381,com.midasplayer.apps.candycrushsaga
123,123,5.0,0.6895999908447266,"level, game, app, reset, longer, money, life, king, deleting, harder",5246965822,com.midasplayer.apps.candycrushsaga
124,124,0.0,0.5956000089645386,"update, , new, back, game, level, bring, board, reset, gold",5246842386,com.midasplayer.apps.candycrushsaga
125,125,7.0,0.9811999797821045,"booster, game, life, get, move, level, without, exit, year, done",5246443403,com.midasplayer.apps.candycrushsaga
126,126,7.0,0.9908000230789185,"booster, game, life, get, move, level, without, exit, year, done",5246133748,com.midasplayer.apps.candycrushsaga
127,127,9.0,0.5601999759674072,"candy, game, time, get, , move, suggestion, player, life, bank",5245771183,com.midasplayer.apps.candycrushsaga
128,128,0.0,0.10000000149011612,"update, , new, back, game, level, bring, board, reset, gold",5245768733,com.midasplayer.apps.candycrushsaga
129,129,1.0,0.949999988079071,"game, add, , many, level, really, ever, way, time, much",5245760815,com.midasplayer.apps.candycrushsaga
130,130,1.0,0.7105000019073486,"game, add, , many, level, really, ever, way, time, much",5245602017,com.midasplayer.apps.candycrushsaga
131,131,7.0,0.96670001745224,"booster, game, life, get, move, level, without, exit, year, done",5245594297,com.midasplayer.apps.candycrushsaga
132,132,0.0,0.8199999928474426,"update, , new, back, game, level, bring, board, reset, gold",5245584325,com.midasplayer.apps.candycrushsaga
133,133,8.0,0.8047999739646912,"game, life, level, update, buy, u, get, , let, got",5245560649,com.midasplayer.apps.candycrushsaga
134,134,0.0,0.8465999960899353,"update, , new, back, game, level, bring, board, reset, gold",5245301081,com.midasplayer.apps.candycrushsaga
135,135,7.0,0.9399999976158142,"booster, game, life, get, move, level, without, exit, year, done",5245066712,com.midasplayer.apps.candycrushsaga
136,136,2.0,0.8162000179290771,"game, level, candy, reset, money, get, booster, life, year, back",5245004275,com.midasplayer.apps.candycrushsaga
137,137,2.0,0.9807999730110168,"game, level, candy, reset, money, get, booster, life, year, back",5244978258,com.midasplayer.apps.candycrushsaga
138,138,8.0,0.9718999862670898,"game, life, level, update, buy, u, get, , let, got",5244806987,com.midasplayer.apps.candycrushsaga
139,139,4.0,0.6802999973297119,"ad, game, many, level, , every, way, second, too, middle",5244764887,com.midasplayer.apps.candycrushsaga
140,140,5.0,0.5357999801635742,"level, game, app, reset, longer, money, life, king, deleting, harder",5244631712,com.midasplayer.apps.candycrushsaga
141,141,9.0,0.5773000121116638,"candy, game, time, get, , move, suggestion, player, life, bank",5244568406,com.midasplayer.apps.candycrushsaga
142,142,0.0,0.9609000086784363,"update, , new, back, game, level, bring, board, reset, gold",5244490681,com.midasplayer.apps.candycrushsaga
143,143,2.0,0.421999990940094,"game, level, candy, reset, money, get, booster, life, year, back",5244246003,com.midasplayer.apps.candycrushsaga
144,144,1.0,0.871399998664856,"game, add, , many, level, really, ever, way, time, much",5243887366,com.midasplayer.apps.candycrushsaga
145,145,9.0,0.843500018119812,"candy, game, time, get, , move, suggestion, player, life, bank",5243716347,com.midasplayer.apps.candycrushsaga
146,146,8.0,0.6865000128746033,"game, life, level, update, buy, u, get, , let, got",5243618060,com.midasplayer.apps.candycrushsaga
147,147,2.0,0.935699999332428,"game, level, candy, reset, money, get, booster, life, year, back",5243568115,com.midasplayer.apps.candycrushsaga
148,148,6.0,0.9624999761581421,"game, level, ad, get, middle, , time, update, every, make",5243202787,com.midasplayer.apps.candycrushsaga
149,149,6.0,0.6449000239372253,"game, level, ad, get, middle, , time, update, every, make",5243073215,com.midasplayer.apps.candycrushsaga
150,150,9.0,0.5575000047683716,"candy, game, time, get, , move, suggestion, player, life, bank",5242789731,com.midasplayer.apps.candycrushsaga
151,151,8.0,0.949999988079071,"game, life, level, update, buy, u, get, , let, got",5242674525,com.midasplayer.apps.candycrushsaga
152,152,6.0,0.6657000184059143,"game, level, ad, get, middle, , time, update, every, make",5242661048,com.midasplayer.apps.candycrushsaga
153,153,6.0,0.871399998664856,"game, level, ad, get, middle, , time, update, every, make",5242485155,com.midasplayer.apps.candycrushsaga
154,154,8.0,0.6136999726295471,"game, life, level, update, buy, u, get, , let, got",5242318960,com.midasplayer.apps.candycrushsaga
155,155,4.0,0.6998999714851379,"ad, game, many, level, , every, way, second, too, middle",5242315014,com.midasplayer.apps.candycrushsaga
156,156,2.0,0.957099974155426,"game, level, candy, reset, money, get, booster, life, year, back",5242292612,com.midasplayer.apps.candycrushsaga
157,157,6.0,0.925000011920929,"game, level, ad, get, middle, , time, update, every, make",5242283787,com.midasplayer.apps.candycrushsaga
158,158,9.0,0.8198999762535095,"candy, game, time, get, , move, suggestion, player, life, bank",5242274272,com.midasplayer.apps.candycrushsaga
